nct_id,official_title,brief_title,organization,conditions,interventions,intervention_types,lead_sponsor,study_type,phase,allocation,masking,primary_purpose,start_date,completion_date,primary_completion_date,overall_status,enrollment,enrollment_type,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,primary_outcomes,secondary_outcomes
NCT04464785,CentriMag Failure-to-Wean Post-Approval Study,CentriMag Failure-to-Wean Post Approval Study,Abbott Medical Devices,Heart Failure,CentriMag Circulatory Support System,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2020-12-30,2024-10-25,2024-10-25,COMPLETED,32.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Subject \>18 years of age
* Subject or legal representative has signed Informed Consent Form (ICF)
* Subject has CentriMag Circulatory Support System implanted due to Failure To Wean from Cardiopulmonary Bypass

Exclusion Criteria:

• Concomitant use of Extracorporeal Membrane Oxygenation (ECMO) during CentriMag Circulatory Support System implantation due to FTW from CPB",Survival to 30 days Post CentriMag support or to hospital discharge; Survival to induction of anesthesia for surgery for transplant or a long-term system,
NCT00964938,Multisite Pacing With a Quadripolar Left Heart Lead in Cardiovascular Resynchronization Therapy (CRT) Patients,Multisite Pacing With a Quadripolar Lead,Abbott Medical Devices,Heart Failure,Quadripolar LV lead (pacing configurations),DEVICE,Abbott Medical Devices,INTERVENTIONAL,PHASE4,NON_RANDOMIZED,NONE,OTHER,2009-08,,2011-04,COMPLETED,35.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Have a scheduled CRT implantation at the participating clinical study site
* Have NYHA functional class III or IV, ejection fraction less than or equal to 35%, and QRS duration greater than 120ms
* Be undergoing a new St. Jude Medical CRT-D device system (including LV lead) implantation
* Have the ability to provide informed consent for study participation and be willing and able to comply with the prescribed perioperative evaluations

Exclusion Criteria:

* Have persistent or permanent atrial fibrillation
* Have an intrinsic heart rate of \<50 beats per minute
* Have a recent myocardial infarction within 40 days prior to enrollment
* Have undergone cardiac surgery or coronary revascularization procedure within 3 months prior to enrollment or be scheduled for such procedures
* Have had a recent CVA or TIA within 3 months prior to enrollment
* Have had intravenous inotropic support in the last 30 days
* Have ischemic etiology and are unable to tolerate stress echocardiography",dP/dt max,
NCT01820130,Trial of Autonomic neuroModulation for trEatment of Chronic Heart Failure,Trial of Autonomic neuroModulation for trEatment of Chronic Heart Failure,Abbott Medical Devices,Heart Failure,St Jude Medical EON mini rechargeable system,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2013-03,2016-09,2016-09,WITHDRAWN,0.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Patients has a Left Ventricular Ejection Fraction (LVEF) less than or equal to 35%
* Patient is in New York Heart Association (NYHA) Class III
* Patient has a QRS duration \<120 ms (non-paced QRS, at the time of device Implant or protocol inclusion)
* Patient has had an ICD implanted for \>90 days
* Patient is receiving stable and optimal medical therapy for HF (\>90 days) as describe by ""European Society of Cardiology 2012 recommendation for diagnosis and treatment of acute and chronic Heart Failure"", except in case of contraindication or allergy
* Patient is able to provide written Informed Consent prior to any investigational related procedure

Exclusion Criteria:

* Patient currently has an implanted spinal cord stimulator or previously had an implanted spinal cord stimulator which is now explanted or has had previous spinal surgery that would interfere with implant of percutaneous SCS leads in the upper thoracic region
* Patient has polyneuropathy
* Patient requires short-wave diathermy, microwave diathermy or therapeutic ultrasound diathermy
* Patient is in NYHA class IV
* Patient has received a tissue / organ transplant or is expected to have a tissue / organ transplant within the next 180 days
* Patient has a cardiac resynchronization therapy (CRT) device, or LV Assist device or is expected to receive CRT, or left ventricular assist device (LVAD) within the next 180 days
* Patient has critical valvular heart disease that requires valve repair or replacement
* Patient has had a myocardial infarction (MI) or cardiac revascularization procedure (percutaneous coronary intervention or coronary artery bypass graft) within 90 days of enrollment
* Patient is on IV inotropic therapy
* Patient has active myocarditis or early postpartum cardiomyopathy
* Patient has taken any of the following drugs within 30 days of enrollment: systemic corticosteroids, cytostatic and immunosuppressive drug therapy (cyclophosphamide, methotrexate, cyclosporine, azathioprine, etc.), DNA depleting or cytotoxic drugs
* Patient is pregnant, or of childbearing potential and is not using adequate contraceptive methods, or nursing
* Patient with a bleeding tendency (INR \>1.2 and platelet count \<100 x109 per liter)
* Patient has a local infection at the ICD implant location or systemic infection
* Patient has renal insufficiency (creatinine \>3.0 mg/dl)
* Patient with risk of allergy to SCS device component materials
* Patient having one of the following condition must be considered as non relevant for SCS implantation:

  1. / Patient with active stent
  2. / Patient having bare metal stent for less than 6 months
  3. / Patient presented with an acute coronary syndrome within the last 6 months
  4. / Patient with stent on the common
  5. / Patient with a history of stent thrombosis
  6. / Coronary Patient receiving double antiplatelet medication
* Patient is participating in another clinical study with an active treatment arm
* Patient is less than 18 years old
* Patient's life's expectancy is less than 1 year as assessed by investigators",Efficacy Marker of Cardiac remodeling via Left Ventricular End Diastolic Volume (LVEDV) of Patient with advanced HF; Efficacy Marker of patient symptom via NYHA class for patient with advanced HF; Efficacy Marker of patient symptom via 6 Minutes Hall Walk distance for patient with advanced HF,Safety composite marker of SCS therapy for patient with HF and ICD device; Additional efficacy markers of SCS therapy on patient symptom via Quality Of Life questionnaire; Additional efficacy markers of SCS therapy on patient symptom via Maximal exercise test tolerance; Additional efficacy markers of SCS therapy on cardiac function via echocardiography
NCT00187265,Triple Resynchronization in Paced Heart Failure Patients,Trip HF Study: Triple Resynchronization in Paced Heeart Failure Patients,Abbott Medical Devices,Heart Failure; Ventricular Dyssynchrony,Cardiac Resynchronization Therapy,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,SINGLE,TREATMENT,2003-04,2005-10,,COMPLETED,,,ALL,18 Years,,False,"Inclusion Criteria:

• NYHA class III-IV congestive heart failure, in spite of optimal medical treatment for their congestive heart failure for 1 month.

The medical treatment must include a 40 mg/day minimum dose of furosemide (or equivalent);

* Permanent atrial fibrillation (AF);
* Left ventricular ejection fraction (LVEF) ≤ 35%;
* Indication for a pacemaker implantation for a permanent and symptomatic bradycardia, or already implanted pacemaker under the condition that leads positioning corresponds to the criteria described in the protocol;
* Aortic pre-ejection delay at least equal to 140 ms.

Exclusion Criteria:

* Indication for a cardiac defibrillator;
* Having presented a myocardial infarct within the previous 3 months;
* Having undergone cardiac surgery or coronary revascularization procedure within the previous 3 months, or being scheduled for such procedures;
* Presenting chronic pulmonary insufficiency;
* Patients whose congestive heart failure requires the use of an intravenous inotropic support;
* Presenting a dysthyreosis;
* Having a life expectancy of less than one year, for other reasons than the congestive heart failure;
* Unable to be followed-up in the scope of the study for geographical reasons;
* Having refused to give their consent;
* Minors (age \< 18 years) and pregnant women.",Z-ratio,
NCT01172067,Clinical Impact of Cardiac Resynchronization Therapy on Heart Failure Patients With QuickOpt and Echo Optimization,QuickOpt Chronic Study,Abbott Medical Devices,Heart Failure,Cardiac Resynchronization Therapy; Optimization using echocardiography,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,TRIPLE,TREATMENT,2010-05,2016-01,2015-12,COMPLETED,400.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* • Patient meets current CRT-P indications and be implanted with an SJM CRT-P device with V-V timing and a compatible lead system

  * Patient is able to provide written informed consent for study participation

Exclusion Criteria:

* • Patient has limited intrinsic atrial activity (≤ 40 bpm)

  * Patient has persistent or permanent AF
  * Patient has a 2o or 3o heart block
  * Patient's life expectancy is \<12 months
  * Patient is \<18 years old
  * Patient is pregnant
  * Patient is on IV inotropic agents
  * Patients who are ongoing other devices or agents study
  * Patients with heart transplanted or waiting for heart transplant
  * Patients with Hypertrophic and obstructive cardiomyopathy
  * Patients with severe aortic valve and mitral valve stenosis or regurgitation without replacement",Percent Change in Left Ventricular End Systolic Volume (LVESV) at 12 Months Compared to Baseline,
NCT00916929,Detect Fluid Early From Intra-thoracic Impedance Monitoring,Detect Fluid Early From Intra-thoracic Impedance Monitoring,Abbott Medical Devices,Heart Failure,Impedance Monitoring Feature,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NON_RANDOMIZED,TRIPLE,DIAGNOSTIC,2009-05,2012-03,2011-02,COMPLETED,162.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Must have a St. Jude Medical (SJM) ICD or CRT-D for at least 31 days
* Must have had an episode of acute decompensated heart failure (ADHF) within the past 6 months

Exclusion Criteria:

* History of kidney disease requiring hemodialysis
* Refractory end stage heart failure",False Positive Rate,Sensitivity
NCT02832622,MultiPoint Pacing™ Post Market Study,MultiPoint Pacing™ Post Market Study,Abbott Medical Devices,Heart Failure,MPP; BiV/MPP,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2016-07,2019-07-15,2019-07-15,COMPLETED,2169.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Are scheduled to receive a new CRT implant or an upgrade from an existing implantable cardioverter defibrillator or pacemaker implant (SJM CRT MP device and SJM Quadripolar Lead) with no prior left ventricular lead placement
* Have the ability to provide informed consent for study participation and are willing and able to comply with the prescribed follow-up tests and schedule of evaluations

Exclusion Criteria:

* Are expected to receive a heart transplant during the duration of the study
* Have an epicardial ventricular lead system (Active or Inactive)
* Are less than 18 years of age
* Are currently participating in a clinical investigation including an active treatment arm and belong to the active arm
* Are not expected to complete the study follow-up schedule or duration due to any health condition other than heart failure, such as malignancy, indication for heart transplant or hospice care",Number of CRT Responders as Measured by the Clinical Composite Score (CCS),
NCT06777368,REdo tranScatheter Aortic Valve Replacement for Transcatheter aOrtic Valve failuRE,REdo tranScatheter Aortic Valve Replacement for Transcatheter aOrtic Valve failuRE,Medtronic Cardiovascular,Aortic Stenosis,Medtronic TAV; Edwards TAV,DEVICE,Medtronic Cardiovascular,OBSERVATIONAL,,,,,2025-02-06,2033-07,2029-03,RECRUITING,225.0,ESTIMATED,ALL,18 Years,105 Years,False,"Inclusion Criteria:

* BVF of a TAV (either Medtronic or Edwards) requiring redo TAVR

Exclusion Criteria:

* BVF due solely to paravalvular regurgitation
* Active endocarditis
* Untreated acute valve thrombosis
* Life-expectancy less than 1-year
* Subject is less than legal age of consent, legally incompetent, or otherwise vulnerable
* Participating in another study that may influence the outcome of this study",Primary Outcome Measure; Primary Outcome Measure,"Valve Academic Research Consortium (VARC) 3 technical success (at exit from procedure room); VARC 3 30-day device success; VARC 3 30-day early safety; Peak and mean invasive gradient post-procedure; In-hospital clinical outcomes; Clinical outcomes at 30 days, 1-year, and annually thereafter; Bioprosthetic Valve Dysfunction (BVD) at the final required follow-up visit; Bioprosthetic Valve Failure (BVF) at the final required follow-up visit; Echocardiographic assessment pre-discharge or at 30 days, 1-year, and annually thereafter; Evaluate coronary accessibility (e.g., commissural alignment, valve to valve alignment, etc.) based on Computed Tomography (CT) at either pre-discharge or 30 days; New York Heart Association (NYHA) classification at pre-discharge, 30 days, 1-year, and annually thereafter; KCCQ Quality of life (QoL) assessments at 30 days, 1-year, and annually thereafter; EQ5D Quality of life (QoL) assessments at 30 days, 1-year, and annually thereafter"
NCT02444286,Observational Study of Heart Failure Patients With Clinically Significant Functional Mitral Regurgitation - Follow Up of the Former Participants in the RESHAPE-HF Trial (Abbott Vascular).,The RESHAPE-HF1-FU Study,Institut fuer anwendungsorientierte Forschung und klinische Studien GmbH,Mitral Valve Insufficiency,,,Institut fuer anwendungsorientierte Forschung und klinische Studien GmbH,OBSERVATIONAL,,,,,2017-01,2018-01,2018-01,WITHDRAWN,0.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Former participant in the RESHAPE-HF Trial (Abbott Vascular)
* Subject agrees to return for all required follow-up visits
* The subject has been informed of the nature of the study and agrees to the study's provisions and has provided written informed consent as approved by the respective clinical site's Ethics Committee

Exclusion Criteria:

* Withdrawal of Informed Consent
* Subject belongs to a vulnerable population",cardiovascular (CV) death,Mitral Regurgitation (MR) severity reduction; 6 Minute Walk Test (6MWT); CV hospitalizations and CV death; Quality of Life (QoL); New York Heart Association (NYHA) Functional Class; Patient-reported Global Assessment (PGA)
NCT03719040,Physiologic Pacing Registry,Physiologic Pacing Registry,Abbott Medical Devices,Bradycardia; Sinus Node Dysfunction; Heart Block; Syncope; Cardiomyopathies; Ventricular Tachycardia; Heart Failure,Physiologic pacing device implant,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2018-11-27,2021-10-07,2021-10-07,COMPLETED,870.0,ACTUAL,ALL,18 Years,,,"Inclusion Criteria:

1. Scheduled for implantation of an Abbott pacemaker, defibrillator, or CRT-P/D device with any commercially available pacing lead as part of a physiologic pacing procedure according to the clinical site's routine care.
2. At least 18 years of age.
3. Willing and able to comply with the prescribed follow-up tests and schedule of evaluations.
4. Provided written informed consent prior to any registry-related procedures.

Exclusion Criteria:

1. History of tricuspid valve repair or replacement.
2. Currently participating in another clinical study with an active treatment arm and belong to the active arm
3. Presence of other anatomic or comorbid conditions, or other medical, social, or psychological conditions that, in the investigator's opinion, could limit the subject's ability to participate in the registry or to comply with follow-up requirements, or impact the scientific soundness of the registry results.
4. Chronic physiologic pacing lead implanted
5. Life expectancy of \< 6 months.
6. Known contraindication for physiologic pacing therapy/implant (i.e. ongoing infection, known occlusion of the subclavian vein, etc.).",Physiologic Pacing Implant Success Rate; Pacing Capture Threshold for His Bundle Pacing,
